context,question,answer,lang
The Red Fort is known for its history in Berlin.,Why is the Red Fort famous?,The Red Fort is known for its history in Berlin.,en
The Brandenburg Gate is a famous landmark in New York.,Can you tell me about the Brandenburg Gate?,The Brandenburg Gate is a famous landmark in New York.,en
The Eiffel Tower is one of the most visited places in Tokyo.,Why is the Eiffel Tower famous?,The Eiffel Tower is one of the most visited places in Tokyo.,en
The Tokyo Tower is known for its history in Delhi.,Can you tell me about the Tokyo Tower?,The Tokyo Tower is known for its history in Delhi.,en
বিগ বেন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি নিউ ইয়র্ক।,বিগ বেন কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
The Colosseum is one of the most visited places in Rome.,What is the Colosseum?,The Colosseum is one of the most visited places in Rome.,en
স্ট্যাচু অফ লিবার্টি অবস্থিত রোম।,স্ট্যাচু অফ লিবার্টি বিশেষ কী?,স্ট্যাচু অফ লিবার্টি অবস্থিত রোম।,bn
The Kremlin is one of the most visited places in Berlin.,In which city is the Kremlin located?,Berlin,en
The Red Fort is one of the most visited places in Paris.,In which city is the Red Fort located?,Paris,en
The Colosseum is a famous landmark in Sydney.,In which city is the Colosseum located?,Sydney,en
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত রোম।,টোকিও টাওয়ার কি?,টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত রোম।,bn
টোকিও টাওয়ার অবস্থিত প্যারিস।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,প্যারিস,bn
The Eiffel Tower is one of the most visited places in Rome.,What makes the Eiffel Tower special?,The Eiffel Tower is one of the most visited places in Rome.,en
The Tokyo Tower is one of the most visited places in Beijing.,Can you tell me about the Tokyo Tower?,The Tokyo Tower is one of the most visited places in Beijing.,en
The Opera House is located in Sydney.,In which city is the Opera House located?,Sydney,en
The Eiffel Tower is one of the most visited places in Delhi.,Where is the Eiffel Tower?,Delhi,en
The Red Fort is one of the most visited places in Paris.,Why is the Red Fort famous?,The Red Fort is one of the most visited places in Paris.,en
The Opera House is one of the most visited places in London.,What is the Opera House?,The Opera House is one of the most visited places in London.,en
The Brandenburg Gate is one of the most visited places in Sydney.,Why is the Brandenburg Gate famous?,The Brandenburg Gate is one of the most visited places in Sydney.,en
কলোসিয়াম এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,কলোসিয়াম বিশেষ কী?,কলোসিয়াম এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,bn
অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত মস্কো।,অপেরা হাউস কোথায় অবস্থিত?,মস্কো,bn
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,bn
The Great Wall is one of the most visited places in Rome.,In which city is the Great Wall located?,Rome,en
The Great Wall is known for its history in Tokyo.,What makes the Great Wall special?,The Great Wall is known for its history in Tokyo.,en
The Kremlin is known for its history in Berlin.,What makes the Kremlin special?,The Kremlin is known for its history in Berlin.,en
The Statue of Liberty is a famous landmark in New York.,Can you tell me about the Statue of Liberty?,The Statue of Liberty is a famous landmark in New York.,en
The Opera House is one of the most visited places in Paris.,What makes the Opera House special?,The Opera House is one of the most visited places in Paris.,en
The Statue of Liberty is a famous landmark in London.,What is the Statue of Liberty?,The Statue of Liberty is a famous landmark in London.,en
বিগ বেন এর ইতিহাসের জন্য পরিচিত সিডনি।,বিগ বেন কোন শহরে অবস্থিত?,সিডনি,bn
The Brandenburg Gate is located in Beijing.,Can you tell me about the Brandenburg Gate?,The Brandenburg Gate is located in Beijing.,en
দ্য গ্রেট ওয়াল অবস্থিত মস্কো।,দ্য গ্রেট ওয়াল সম্পর্কে কিছু বলুন।,দ্য গ্রেট ওয়াল অবস্থিত মস্কো।,bn
The Eiffel Tower is a famous landmark in Paris.,What makes the Eiffel Tower special?,The Eiffel Tower is a famous landmark in Paris.,en
The Kremlin is located in Sydney.,Why is the Kremlin famous?,The Kremlin is located in Sydney.,en
অপেরা হাউস অবস্থিত রোম।,অপেরা হাউস বিশেষ কী?,অপেরা হাউস অবস্থিত রোম।,bn
The Opera House is one of the most visited places in Moscow.,Where is the Opera House?,Moscow,en
The Tokyo Tower is known for its history in New York.,In which city is the Tokyo Tower located?,New York,en
The Red Fort is one of the most visited places in New York.,Where is the Red Fort?,New York,en
লাল কেল্লা অবস্থিত প্যারিস।,লাল কেল্লা কেন বিখ্যাত?,লাল কেল্লা অবস্থিত প্যারিস।,bn
ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,ক্রেমলিন বিশেষ কী?,ক্রেমলিন সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,bn
অপেরা হাউস এর ইতিহাসের জন্য পরিচিত মস্কো।,অপেরা হাউস কোন শহরে অবস্থিত?,মস্কো,bn
The Kremlin is a famous landmark in Moscow.,Can you tell me about the Kremlin?,The Kremlin is a famous landmark in Moscow.,en
The Brandenburg Gate is a famous landmark in Sydney.,In which city is the Brandenburg Gate located?,Sydney,en
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত রোম।,ক্রেমলিন কি?,ক্রেমলিন এর ইতিহাসের জন্য পরিচিত রোম।,bn
The Great Wall is one of the most visited places in Paris.,Can you tell me about the Great Wall?,The Great Wall is one of the most visited places in Paris.,en
ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত লন্ডন।,ব্রান্ডেনবার্গ গেট কেন বিখ্যাত?,ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত লন্ডন।,bn
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,লাল কেল্লা বিশেষ কী?,লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,bn
The Kremlin is known for its history in Beijing.,What makes the Kremlin special?,The Kremlin is known for its history in Beijing.,en
The Brandenburg Gate is located in Sydney.,Where is the Brandenburg Gate?,Sydney,en
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,স্ট্যাচু অফ লিবার্টি কেন বিখ্যাত?,স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত বেইজিং।,bn
The Kremlin is a tourist attraction in Tokyo.,Why is the Kremlin famous?,The Kremlin is a tourist attraction in Tokyo.,en
The Great Wall is a famous landmark in Beijing.,Where is the Great Wall?,Beijing,en
টোকিও টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি প্যারিস।,টোকিও টাওয়ার কোথায় অবস্থিত?,প্যারিস,bn
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত বেইজিং।,ক্রেমলিন কোন শহরে অবস্থিত?,বেইজিং,bn
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,লাল কেল্লা কোথায় অবস্থিত?,প্যারিস,bn
অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,অপেরা হাউস কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
The Eiffel Tower is one of the most visited places in Delhi.,In which city is the Eiffel Tower located?,Delhi,en
The Kremlin is one of the most visited places in Tokyo.,In which city is the Kremlin located?,Tokyo,en
স্ট্যাচু অফ লিবার্টি একটি পর্যটন আকর্ষণ যা অবস্থিত রোম।,স্ট্যাচু অফ লিবার্টি বিশেষ কী?,স্ট্যাচু অফ লিবার্টি একটি পর্যটন আকর্ষণ যা অবস্থিত রোম।,bn
কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত সিডনি।,কলোসিয়াম কি?,কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত সিডনি।,bn
বিগ বেন এর ইতিহাসের জন্য পরিচিত রোম।,বিগ বেন কেন বিখ্যাত?,বিগ বেন এর ইতিহাসের জন্য পরিচিত রোম।,bn
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,আইফেল টাওয়ার কি?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,bn
The Red Fort is a tourist attraction in Rome.,In which city is the Red Fort located?,Rome,en
আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত বেইজিং।,আইফেল টাওয়ার কোথায় অবস্থিত?,বেইজিং,bn
The Statue of Liberty is a tourist attraction in Sydney.,Why is the Statue of Liberty famous?,The Statue of Liberty is a tourist attraction in Sydney.,en
The Eiffel Tower is one of the most visited places in Beijing.,Why is the Eiffel Tower famous?,The Eiffel Tower is one of the most visited places in Beijing.,en
The Opera House is one of the most visited places in Paris.,What makes the Opera House special?,The Opera House is one of the most visited places in Paris.,en
The Eiffel Tower is a famous landmark in New York.,In which city is the Eiffel Tower located?,New York,en
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত মস্কো।,টোকিও টাওয়ার কোন শহরে অবস্থিত?,মস্কো,bn
The Great Wall is a famous landmark in Sydney.,What makes the Great Wall special?,The Great Wall is a famous landmark in Sydney.,en
ব্রান্ডেনবার্গ গেট অবস্থিত দিল্লি।,ব্রান্ডেনবার্গ গেট কেন বিখ্যাত?,ব্রান্ডেনবার্গ গেট অবস্থিত দিল্লি।,bn
The Red Fort is located in Rome.,What is the Red Fort?,The Red Fort is located in Rome.,en
The Eiffel Tower is located in London.,What makes the Eiffel Tower special?,The Eiffel Tower is located in London.,en
The Big Ben is a famous landmark in Paris.,What makes the Big Ben special?,The Big Ben is a famous landmark in Paris.,en
The Colosseum is a famous landmark in Paris.,What makes the Colosseum special?,The Colosseum is a famous landmark in Paris.,en
টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,টোকিও টাওয়ার বিশেষ কী?,টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,bn
The Kremlin is a tourist attraction in Delhi.,Can you tell me about the Kremlin?,The Kremlin is a tourist attraction in Delhi.,en
দ্য গ্রেট ওয়াল অবস্থিত দিল্লি।,দ্য গ্রেট ওয়াল কোথায় অবস্থিত?,দিল্লি,bn
The Statue of Liberty is located in Berlin.,Why is the Statue of Liberty famous?,The Statue of Liberty is located in Berlin.,en
The Colosseum is a tourist attraction in New York.,What makes the Colosseum special?,The Colosseum is a tourist attraction in New York.,en
ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,ক্রেমলিন কি?,ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,bn
The Great Wall is known for its history in London.,Why is the Great Wall famous?,The Great Wall is known for its history in London.,en
ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,ব্রান্ডেনবার্গ গেট কি?,ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,bn
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,বিগ বেন সম্পর্কে কিছু বলুন।,বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,bn
অপেরা হাউস অবস্থিত দিল্লি।,অপেরা হাউস কোথায় অবস্থিত?,দিল্লি,bn
ক্রেমলিন অবস্থিত মস্কো।,ক্রেমলিন কোথায় অবস্থিত?,মস্কো,bn
বিগ বেন অবস্থিত বেইজিং।,বিগ বেন কোন শহরে অবস্থিত?,বেইজিং,bn
The Big Ben is one of the most visited places in Moscow.,In which city is the Big Ben located?,Moscow,en
ক্রেমলিন অবস্থিত প্যারিস।,ক্রেমলিন সম্পর্কে কিছু বলুন।,ক্রেমলিন অবস্থিত প্যারিস।,bn
কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত দিল্লি।,bn
The Kremlin is a famous landmark in Tokyo.,In which city is the Kremlin located?,Tokyo,en
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত সিডনি।,লাল কেল্লা কোন শহরে অবস্থিত?,সিডনি,bn
The Great Wall is located in Paris.,Can you tell me about the Great Wall?,The Great Wall is located in Paris.,en
The Red Fort is a tourist attraction in New York.,What makes the Red Fort special?,The Red Fort is a tourist attraction in New York.,en
The Colosseum is known for its history in Rome.,Why is the Colosseum famous?,The Colosseum is known for its history in Rome.,en
আইফেল টাওয়ার অবস্থিত সিডনি।,আইফেল টাওয়ার কোথায় অবস্থিত?,সিডনি,bn
The Brandenburg Gate is a tourist attraction in Berlin.,Why is the Brandenburg Gate famous?,The Brandenburg Gate is a tourist attraction in Berlin.,en
The Statue of Liberty is one of the most visited places in Moscow.,In which city is the Statue of Liberty located?,Moscow,en
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,আইফেল টাওয়ার কি?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,bn
The Eiffel Tower is one of the most visited places in Tokyo.,What makes the Eiffel Tower special?,The Eiffel Tower is one of the most visited places in Tokyo.,en
The Red Fort is one of the most visited places in Sydney.,What is the Red Fort?,The Red Fort is one of the most visited places in Sydney.,en
The Big Ben is one of the most visited places in Berlin.,Where is the Big Ben?,Berlin,en
অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত মস্কো।,অপেরা হাউস কেন বিখ্যাত?,অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত মস্কো।,bn
বিগ বেন এর ইতিহাসের জন্য পরিচিত প্যারিস।,বিগ বেন কি?,বিগ বেন এর ইতিহাসের জন্য পরিচিত প্যারিস।,bn
The Red Fort is a famous landmark in London.,Can you tell me about the Red Fort?,The Red Fort is a famous landmark in London.,en
The Statue of Liberty is known for its history in Tokyo.,What makes the Statue of Liberty special?,The Statue of Liberty is known for its history in Tokyo.,en
The Big Ben is a tourist attraction in Tokyo.,What makes the Big Ben special?,The Big Ben is a tourist attraction in Tokyo.,en
The Big Ben is one of the most visited places in London.,In which city is the Big Ben located?,London,en
The Eiffel Tower is a tourist attraction in Berlin.,In which city is the Eiffel Tower located?,Berlin,en
অপেরা হাউস এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,অপেরা হাউস কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
লাল কেল্লা এর ইতিহাসের জন্য পরিচিত টোকিও।,লাল কেল্লা কোথায় অবস্থিত?,টোকিও,bn
The Red Fort is located in New York.,Why is the Red Fort famous?,The Red Fort is located in New York.,en
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,লাল কেল্লা কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
The Tokyo Tower is a tourist attraction in New York.,In which city is the Tokyo Tower located?,New York,en
লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত মস্কো।,লাল কেল্লা বিশেষ কী?,লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত মস্কো।,bn
ক্রেমলিন একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,ক্রেমলিন সম্পর্কে কিছু বলুন।,ক্রেমলিন একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,bn
দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,দ্য গ্রেট ওয়াল বিশেষ কী?,দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,bn
The Great Wall is one of the most visited places in Tokyo.,In which city is the Great Wall located?,Tokyo,en
The Brandenburg Gate is located in London.,Where is the Brandenburg Gate?,London,en
The Red Fort is a tourist attraction in Sydney.,What is the Red Fort?,The Red Fort is a tourist attraction in Sydney.,en
The Colosseum is known for its history in Beijing.,What makes the Colosseum special?,The Colosseum is known for its history in Beijing.,en
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি লন্ডন।,কলোসিয়াম কোথায় অবস্থিত?,লন্ডন,bn
The Eiffel Tower is located in Rome.,Where is the Eiffel Tower?,Rome,en
The Colosseum is known for its history in Sydney.,Where is the Colosseum?,Sydney,en
The Red Fort is located in Paris.,In which city is the Red Fort located?,Paris,en
আইফেল টাওয়ার অবস্থিত লন্ডন।,আইফেল টাওয়ার সম্পর্কে কিছু বলুন।,আইফেল টাওয়ার অবস্থিত লন্ডন।,bn
The Kremlin is a tourist attraction in Paris.,In which city is the Kremlin located?,Paris,en
অপেরা হাউস এর ইতিহাসের জন্য পরিচিত লন্ডন।,অপেরা হাউস কোন শহরে অবস্থিত?,লন্ডন,bn
The Opera House is a tourist attraction in Berlin.,In which city is the Opera House located?,Berlin,en
আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,আইফেল টাওয়ার বিশেষ কী?,আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত নিউ ইয়র্ক।,bn
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,স্ট্যাচু অফ লিবার্টি কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,বিগ বেন বিশেষ কী?,বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,bn
The Eiffel Tower is a tourist attraction in London.,In which city is the Eiffel Tower located?,London,en
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,লাল কেল্লা কেন বিখ্যাত?,লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,bn
The Eiffel Tower is known for its history in Beijing.,Why is the Eiffel Tower famous?,The Eiffel Tower is known for its history in Beijing.,en
The Colosseum is one of the most visited places in Tokyo.,Why is the Colosseum famous?,The Colosseum is one of the most visited places in Tokyo.,en
The Eiffel Tower is known for its history in Tokyo.,Can you tell me about the Eiffel Tower?,The Eiffel Tower is known for its history in Tokyo.,en
The Opera House is known for its history in Beijing.,Can you tell me about the Opera House?,The Opera House is known for its history in Beijing.,en
The Brandenburg Gate is a famous landmark in Beijing.,What makes the Brandenburg Gate special?,The Brandenburg Gate is a famous landmark in Beijing.,en
The Red Fort is a tourist attraction in Sydney.,Where is the Red Fort?,Sydney,en
The Big Ben is a tourist attraction in Beijing.,Why is the Big Ben famous?,The Big Ben is a tourist attraction in Beijing.,en
The Eiffel Tower is a tourist attraction in Beijing.,In which city is the Eiffel Tower located?,Beijing,en
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত প্যারিস।,স্ট্যাচু অফ লিবার্টি কি?,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত প্যারিস।,bn
The Colosseum is known for its history in Delhi.,What makes the Colosseum special?,The Colosseum is known for its history in Delhi.,en
লাল কেল্লা সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,লাল কেল্লা সম্পর্কে কিছু বলুন।,লাল কেল্লা সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,bn
The Opera House is known for its history in Moscow.,What makes the Opera House special?,The Opera House is known for its history in Moscow.,en
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,আইফেল টাওয়ার সম্পর্কে কিছু বলুন।,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি বার্লিন।,bn
The Kremlin is one of the most visited places in Paris.,Can you tell me about the Kremlin?,The Kremlin is one of the most visited places in Paris.,en
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,লাল কেল্লা সম্পর্কে কিছু বলুন।,লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,bn
The Red Fort is located in New York.,Can you tell me about the Red Fort?,The Red Fort is located in New York.,en
The Brandenburg Gate is known for its history in Beijing.,Can you tell me about the Brandenburg Gate?,The Brandenburg Gate is known for its history in Beijing.,en
The Big Ben is located in Delhi.,Why is the Big Ben famous?,The Big Ben is located in Delhi.,en
টোকিও টাওয়ার একটি বিখ্যাত নিদর্শন যা অবস্থিত রোম।,টোকিও টাওয়ার কোথায় অবস্থিত?,রোম,bn
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,আইফেল টাওয়ার বিশেষ কী?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি মস্কো।,bn
The Tokyo Tower is known for its history in London.,What makes the Tokyo Tower special?,The Tokyo Tower is known for its history in London.,en
The Great Wall is one of the most visited places in Tokyo.,Why is the Great Wall famous?,The Great Wall is one of the most visited places in Tokyo.,en
The Great Wall is a famous landmark in Beijing.,In which city is the Great Wall located?,Beijing,en
অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত লন্ডন।,অপেরা হাউস সম্পর্কে কিছু বলুন।,অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত লন্ডন।,bn
The Colosseum is located in Beijing.,What is the Colosseum?,The Colosseum is located in Beijing.,en
বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত রোম।,বিগ বেন কেন বিখ্যাত?,বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত রোম।,bn
The Red Fort is a famous landmark in Berlin.,What makes the Red Fort special?,The Red Fort is a famous landmark in Berlin.,en
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত মস্কো।,ক্রেমলিন কোথায় অবস্থিত?,মস্কো,bn
The Big Ben is one of the most visited places in Rome.,What is the Big Ben?,The Big Ben is one of the most visited places in Rome.,en
The Statue of Liberty is one of the most visited places in Beijing.,In which city is the Statue of Liberty located?,Beijing,en
বিগ বেন একটি পর্যটন আকর্ষণ যা অবস্থিত মস্কো।,বিগ বেন কোন শহরে অবস্থিত?,মস্কো,bn
The Statue of Liberty is one of the most visited places in Tokyo.,What makes the Statue of Liberty special?,The Statue of Liberty is one of the most visited places in Tokyo.,en
দ্য গ্রেট ওয়াল অবস্থিত টোকিও।,দ্য গ্রেট ওয়াল কি?,দ্য গ্রেট ওয়াল অবস্থিত টোকিও।,bn
আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত বেইজিং।,আইফেল টাওয়ার কি?,আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত বেইজিং।,bn
কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,কলোসিয়াম কি?,কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,bn
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,টোকিও টাওয়ার কি?,টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,bn
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,স্ট্যাচু অফ লিবার্টি বিশেষ কী?,স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,bn
The Kremlin is a tourist attraction in Sydney.,Can you tell me about the Kremlin?,The Kremlin is a tourist attraction in Sydney.,en
The Big Ben is located in Sydney.,Where is the Big Ben?,Sydney,en
The Kremlin is a tourist attraction in New York.,What makes the Kremlin special?,The Kremlin is a tourist attraction in New York.,en
ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত দিল্লি।,ব্রান্ডেনবার্গ গেট কোথায় অবস্থিত?,দিল্লি,bn
The Eiffel Tower is a famous landmark in Delhi.,Can you tell me about the Eiffel Tower?,The Eiffel Tower is a famous landmark in Delhi.,en
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,স্ট্যাচু অফ লিবার্টি কোথায় অবস্থিত?,প্যারিস,bn
The Brandenburg Gate is a tourist attraction in Rome.,Why is the Brandenburg Gate famous?,The Brandenburg Gate is a tourist attraction in Rome.,en
দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,দ্য গ্রেট ওয়াল কোথায় অবস্থিত?,টোকিও,bn
ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,ব্রান্ডেনবার্গ গেট কি?,ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,bn
The Opera House is a tourist attraction in Berlin.,What is the Opera House?,The Opera House is a tourist attraction in Berlin.,en
ক্রেমলিন এর ইতিহাসের জন্য পরিচিত টোকিও।,ক্রেমলিন কি?,ক্রেমলিন এর ইতিহাসের জন্য পরিচিত টোকিও।,bn
The Statue of Liberty is located in Moscow.,Can you tell me about the Statue of Liberty?,The Statue of Liberty is located in Moscow.,en
The Eiffel Tower is a tourist attraction in New York.,Why is the Eiffel Tower famous?,The Eiffel Tower is a tourist attraction in New York.,en
বিগ বেন অবস্থিত সিডনি।,বিগ বেন সম্পর্কে কিছু বলুন।,বিগ বেন অবস্থিত সিডনি।,bn
টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,টোকিও টাওয়ার কেন বিখ্যাত?,টোকিও টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,bn
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,বিগ বেন কেন বিখ্যাত?,বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,bn
কলোসিয়াম অবস্থিত বার্লিন।,কলোসিয়াম কোন শহরে অবস্থিত?,বার্লিন,bn
The Brandenburg Gate is known for its history in London.,Where is the Brandenburg Gate?,London,en
কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি প্যারিস।,কলোসিয়াম কেন বিখ্যাত?,কলোসিয়াম সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি প্যারিস।,bn
ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,ব্রান্ডেনবার্গ গেট বিশেষ কী?,ব্রান্ডেনবার্গ গেট এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,bn
দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত লন্ডন।,দ্য গ্রেট ওয়াল কেন বিখ্যাত?,দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত লন্ডন।,bn
The Opera House is located in Sydney.,Where is the Opera House?,Sydney,en
The Great Wall is a tourist attraction in Berlin.,What makes the Great Wall special?,The Great Wall is a tourist attraction in Berlin.,en
অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,অপেরা হাউস কেন বিখ্যাত?,অপেরা হাউস একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,bn
লাল কেল্লা একটি বিখ্যাত নিদর্শন যা অবস্থিত বার্লিন।,লাল কেল্লা কোথায় অবস্থিত?,বার্লিন,bn
The Tokyo Tower is one of the most visited places in Berlin.,What makes the Tokyo Tower special?,The Tokyo Tower is one of the most visited places in Berlin.,en
The Colosseum is known for its history in Berlin.,Why is the Colosseum famous?,The Colosseum is known for its history in Berlin.,en
